,Country,TrainMAE_x,TestMAE_x,ConfirmedCases,TrainMPE,TestMPE,TrainMAE_y,TestMAE_y
41,China,231.67924244868772,185.1003808325663,29327103.0,0.0007899833899334951,0.0006311580821077563,208.4613428059435,377.7341917543171
42,Nepal,38.97529174239561,35.00214333373097,5437341.0,0.0007168079350255137,0.0006437364022916893,26.67409653252422,45.77944422308474
43,Colombia,198.98600578630058,257.47686815321475,39799539.0,0.0004999706297761403,0.0006469342977897677,265.49677190596486,304.22949957501027
44,Honduras,67.40076726042993,55.744623941378535,8045271.0,0.000837768762052017,0.0006928868392547438,57.71938506652893,51.82694660003406
45,Dominican Republic,79.60650456914155,88.02208182171655,12700584.0,0.0006267940479677277,0.0006930553888050861,85.2778671588011,101.90729815944822
46,Pakistan,402.4605634558245,550.2054768339431,79074333.0,0.0005089648539379076,0.0006958079264910688,467.8572087024407,359.41734757237776
47,Denmark,26.36581144711414,31.49671960455831,4504032.0,0.0005853824184000944,0.0006993005290494897,21.868590316641644,23.227619550524754
48,South Korea,37.11107704923109,33.4256168625741,4594941.0,0.0008076507848355634,0.0007274438749610518,30.07531769128612,27.45417258295915
49,Belgium,130.51769333978956,158.90811405966386,21705138.0,0.0006013216471592559,0.0007321221088742389,111.20232739627477,142.64484243630088
50,Thailand,8.304096786894043,8.30618475306445,1117935.0,0.0007428067630849773,0.0007429935329929245,6.104327935566018,6.569524942515508
51,Switzerland,74.33525454219877,84.01355756299253,11301498.0,0.0006577469158707878,0.0007433842625375196,50.89410121864424,75.8247773333164
52,Germany,364.8108372045547,518.423282849773,69216498.0,0.0005270576347340697,0.0007489880271749274,338.6197596589588,450.42372216280137
53,Cote d'Ivoire,37.523687499182245,27.50711136215414,3672162.0,0.0010218418332084002,0.0007490712926650332,29.46450188888735,24.8523882823087
54,Peru,775.5156584625148,799.1856224152194,104977080.0,0.000738747599440292,0.0007612953441029407,550.103059597373,564.7353866691135
55,South Africa,524.6102770353932,502.5544508918448,65979927.0,0.0007951058767242849,0.0007616777916287247,512.9938640111526,494.911827289958
56,Portugal,74.61356503340954,119.4198708404953,15292719.0,0.0004879025439060872,0.0007808936451424715,67.40856954043792,120.8027200205809
57,Estonia,7.6240755807171015,5.557418504455674,699543.0,0.0010898651806561,0.0007944355821523013,6.335457562507529,5.411620418074929
58,Albania,6.842000501658963,7.985353480504512,989469.0,0.0006914820476092694,0.0008070342254789702,6.562181647642778,6.602445555560298
59,Norway,21.84415299973572,25.440029256782807,3133026.0,0.0006972222062547747,0.0008119954720063866,17.881056995457126,19.861079987453195
60,Mali,7.061848838234812,6.715173924835202,808353.0,0.0008736095292817387,0.0008307229545551514,6.871573129413484,6.107718009985654
61,Cuba,5.4936551389096,7.012582165818082,831519.0,0.0006606770427265763,0.0008433459927936803,4.6471869603527525,5.994055654939624
62,Malaysia,22.256089292490525,26.12699856353209,3038958.0,0.0007323592261719485,0.0008597354278516546,17.885860508188966,21.394284544425638
63,Lithuania,7.880521971773715,5.667768628344219,642681.0,0.0012261949508035426,0.0008818945368455297,6.548710361644062,5.379306085551443
64,Venezuela,19.769192506502158,21.05184067324764,2369250.0,0.0008344071966445987,0.0008885445045160973,20.752004479927344,27.217412663367266
65,Democratic Republic of Congo,22.493291778999037,23.37156649945432,2590029.0,0.0008684571400165418,0.0009023669811980608,19.149256812445994,26.515660799260488
66,Cape Verde,7.974140404225249,4.534995306569009,498771.0,0.0015987578275852546,0.0009092339583835084,6.213343619687265,4.657938812641627
67,Serbia,35.9575367664823,50.54176313508661,5555979.0,0.0006471863332543607,0.0009096824004389977,35.321809873244256,53.08227920788154
68,New Zealand,3.3849510382396812,5.074843827662981,538083.0,0.0006290760046757993,0.0009431340197818891,2.387721848089914,4.223893897702504
69,Ireland,47.662728213331086,85.81170022057482,8953659.0,0.0005323268198323288,0.0009583981277439184,39.64603438751554,83.6642670595533
70,Austria,39.95582675120917,61.2353489872516,6375915.0,0.0006266681213788008,0.0009604166458814397,40.562949127715825,66.8769642456729
71,Bulgaria,19.075830951589925,19.27189093276517,1992627.0,0.0009573207103783064,0.0009671599819115758,17.021864371327176,21.15669804635587
72,Uzbekistan,25.809245994455328,33.516102634289076,3407508.0,0.0007574229024394169,0.0009835957137676297,31.254660781426118,36.00463027598915
73,Israel,117.14912896606519,102.67651137207764,10289916.0,0.001138484793909544,0.0009978362444560056,95.59739081165606,86.5313202839357
74,Hungary,9.691045062069787,15.045473035569582,1465074.0,0.0006614713701881125,0.0010269428735729103,8.07441116059472,14.091508618358915
75,Luxembourg,19.58542596312645,16.25430894201131,1571076.0,0.0012466249858776061,0.001034597240490677,14.233895168905518,21.49788144369221
76,Greece,13.295154673198187,12.945905252234786,1232361.0,0.0010788360450548328,0.0010504961819008216,12.097808216571371,11.812294887495954
77,Czech Republic,32.02983624643704,45.966914824454356,4366440.0,0.0007335457774854812,0.001052732084362876,28.55738890306065,35.432821712300324
78,Finland,15.679528153798573,27.112014831071445,2544048.0,0.0006163220251268282,0.001065703745804774,12.886150063612153,20.124766261041042
79,Iceland,5.1057756607866835,6.875530268039992,642330.0,0.0007948835739863751,0.0010704046624071726,3.6817963116092476,5.902409620570793
80,Somalia,9.590584992922436,11.147891758629813,1039311.0,0.0009227829776575476,0.0010726232820233608,8.549780499579294,10.82719290764818
81,Slovenia,5.139588611264206,6.392701206852037,589329.0,0.0008721085524832829,0.0010847423437251578,4.6414919529411405,5.94132499998962
82,Taiwan,1.5547554758734032,1.7297138246869963,157599.0,0.0009865262316851016,0.001097541116813556,1.2454717603079393,1.8987603991323447
83,Australia,36.81667707309778,32.562750573839864,2963493.0,0.0012423406120108194,0.0010987962709491758,27.600075544154812,31.87432782747494
84,Philippines,152.06278330993976,164.95418060530818,14682330.0,0.0010356856391999074,0.0011234877611748827,171.7499261560181,154.26994619616735
85,Kenya,27.59234899214409,29.992569556600422,2659527.0,0.0010374908392411166,0.0011277407432449614,23.483455797298948,34.21749164525149
86,Georgia,3.5083472973243968,3.8538423641993496,332748.0,0.001054355637697115,0.0011581864847269856,3.0003263561539106,3.723979356031605
87,Sierra Leone,4.628358774874588,6.255124849013944,538083.0,0.0008601570343003938,0.0011624832691264995,4.408641194337229,4.79322866299668
88,Morocco,45.07493235461356,56.7546667688485,4851522.0,0.000929088487171934,0.0011698322045916418,49.81148036214304,52.62462807264803
89,Macao,0.2579702768814008,0.18983887070920666,16146.0,0.001597734899550358,0.0011757640945695938,0.1999261664748509,0.22841221584168003
90,Guatemala,107.39597178390764,95.89645690692116,7897851.0,0.0013598125842575106,0.001214209497076118,76.68324732602113,126.05626401797673
91,Japan,51.00483005063232,85.7800962684943,6830811.0,0.0007466877659275353,0.0012557820186870096,54.83540646007867,71.41652230930026
92,Costa Rica,17.237208188259114,20.811740452993348,1621971.0,0.0010627322059555393,0.00128311421431045,21.368407482830516,19.199702258945866
93,Croatia,9.728611961965859,13.946885259690644,1085994.0,0.0008958255719613422,0.0012842506735479793,7.66616806668022,11.3463074271451
94,Cyprus,2.754224998864788,4.5830348663516975,351702.0,0.0007831132603353942,0.001303101735660217,2.5281767128208106,3.797746215171409
