,Country,TrainMAE_x,TestMAE_x,ConfirmedCases_x,index,TrainMAE,TestMAE,ConfirmedCases_y,TrainMPE,TestMPE,,MAEdiff (pos means scaler better)
71,Bulgaria,19.07583095,19.27189093,1992627,15,19.0937316,19.31314398,1992627,0.000958219,0.00096923,,-0.041253048
72,Uzbekistan,25.80924599,33.51610263,3407508,175,25.81313768,33.49674427,3407508,0.000757537,0.000983028,,0.019358365
73,Israel,117.149129,102.6765114,10289916,82,117.1796461,102.7434028,10289916,0.001138781,0.000998486,,-0.066891446
74,Hungary,9.691045062,15.04547304,1465074,75,9.67033552,14.98653032,1465074,0.000660058,0.00102292,,0.058942718
75,Luxembourg,19.58542596,16.25430894,1571076,100,19.56863721,16.18588253,1571076,0.001245556,0.001030242,,0.068426409
76,Greece,13.29515467,12.94590525,1232361,66,13.2522581,12.95386834,1232361,0.001075355,0.001051142,,-0.007963086
77,Czech Republic,32.02983625,45.96691482,4366440,43,32.05878332,45.9525957,4366440,0.000734209,0.001052404,,0.014319123
78,Finland,15.67952815,27.11201483,2544048,56,15.71592497,27.10980615,2544048,0.000617753,0.001065617,,0.002208677
79,Iceland,5.105775661,6.875530268,642330,81,5.104200219,6.821105423,642330,0.000794638,0.001061932,,0.054424845
80,Somalia,9.590584993,11.14789176,1039311,149,9.62589531,11.23384349,1039311,0.00092618,0.001080893,,-0.085951736
81,Slovenia,5.139588611,6.392701207,589329,154,5.185449622,6.223456128,589329,0.00087989,0.001056024,,0.169245078
82,Taiwan,1.554755476,1.729713825,157599,169,1.560225936,1.690605706,157599,0.000989997,0.001072726,,0.039108119
83,Australia,36.81667707,32.56275057,2963493,7,36.69058839,32.54340872,2963493,0.001238086,0.001098144,,0.019341857
84,Philippines,152.0627833,164.9541806,14682330,129,152.0567664,166.5573794,14682330,0.001035645,0.001134407,,-1.603198815
85,Kenya,27.59234899,29.99256956,2659527,88,27.54903761,29.93457198,2659527,0.001035862,0.00112556,,0.057997581
86,Georgia,3.508347297,3.853842364,332748,62,3.528246812,3.715096744,332748,0.001060336,0.00111649,,0.138745621
87,Sierra Leone,4.628358775,6.255124849,538083,146,4.751557033,6.258370493,538083,0.000883053,0.001163086,,-0.003245644
88,Morocco,45.07493235,56.75466677,4851522,103,45.09598453,56.06740332,4851522,0.000929522,0.001155666,,0.687263454
89,Macao,0.257970277,0.189838871,16146,102,0.246928295,0.178855106,16146,0.001529347,0.001107736,,0.010983765
90,Guatemala,107.3959718,95.89645691,7897851,68,107.476237,95.96327281,7897851,0.001360829,0.001215055,,-0.066815904
91,Japan,51.00483005,85.78009627,6830811,86,50.9642104,85.83471857,6830811,0.000746093,0.001256582,,-0.054622304
92,Costa Rica,17.23720819,20.81174045,1621971,40,16.66399681,23.34839494,1621971,0.001027392,0.001439508,,-2.536654489
93,Croatia,9.728611962,13.94688526,1085994,73,9.756468134,14.02964707,1085994,0.000898391,0.001291872,,-0.082761815
94,Cyprus,2.754224999,4.583034866,351702,42,2.778000625,4.58637517,351702,0.000789873,0.001304051,,-0.003340303
95,Tunisia,5.7864477,5.431672136,416286,167,5.807698793,5.428665161,416286,0.001395122,0.001304071,,0.003006975
96,Rwanda,5.632522326,5.010162753,383292,140,5.621986241,4.998930499,383292,0.001466763,0.001304209,,0.011232254
97,Togo,4.089763301,3.142403402,237276,160,4.090020962,3.020613205,237276,0.00172374,0.001273038,,0.121790197
98,Nicaragua,4.546694907,11.74491253,884169,120,4.656832378,11.93827947,884169,0.00052669,0.001350226,,-0.193366938
99,Niger,3.977105689,5.045400995,379782,118,3.999393131,4.820998641,379782,0.001053076,0.001269412,,0.224402354
100,Jordan,5.507871379,5.446646872,397683,85,5.486001389,5.414395229,397683,0.001379491,0.001361485,,0.032251643
101,Sudan,40.1667682,47.65242564,3428217,142,40.16518329,47.53399703,3428217,0.001171606,0.001386552,,0.118428604
102,Jamaica,3.901630631,3.558186654,255528,84,3.940539202,3.578565417,255528,0.001542116,0.001400459,,-0.020378763
103,Latvia,3.285210796,5.578863255,394173,101,3.285146597,5.619534075,394173,0.000833428,0.001425652,,-0.04067082
104,Central African Republic,14.7156971,20.58193133,1393119,28,14.77275782,20.40302976,1393119,0.001060409,0.001464558,,0.178901568
105,Brunei,0.702977647,0.736122044,49491,25,0.700460559,0.739765552,49491,0.001415329,0.001494748,,-0.003643508
106,Uruguay,4.247950416,5.035174127,335205,173,4.262563567,5.080301687,335205,0.001271629,0.001515581,,-0.04512756
107,Djibouti,23.91121063,25.16881351,1662336,45,23.91607467,24.95453444,1662336,0.001438703,0.001501173,,0.214279068
108,Gabon,28.89576383,30.79591144,1972620,60,28.9566799,30.88199293,1972620,0.00146793,0.001565532,,-0.086081495
109,Haiti,22.15862316,34.6483171,2209194,74,22.18709988,34.90240519,2209194,0.001004307,0.001579871,,-0.254088084
110,Kosovo,10.86970496,17.50144051,1115478,137,10.94149243,17.52704744,1115478,0.000980879,0.001571259,,-0.025606932
111,Ghana,106.8423085,108.2733248,6805188,63,106.8720497,108.4849246,6805188,0.00157045,0.00159415,,-0.211599859
112,Lebanon,10.94712921,10.88482829,651105,94,10.94997642,10.88662564,651105,0.001681753,0.001672023,,-0.001797345
113,Kazakhstan,368.8320143,277.396146,16557021,87,368.8496305,277.4196532,16557021,0.002227754,0.001675541,,-0.023507125
114,Liberia,4.150868826,5.190855242,305019,95,4.139930124,5.05604533,305019,0.00135727,0.001657617,,0.134809912
115,Ethiopia,42.53655574,35.09476847,2051946,55,42.49762452,35.02340576,2051946,0.002071089,0.001706839,,0.071362713
116,Guinea,21.76740628,33.5173207,1955070,64,21.69246874,32.66686332,1955070,0.001109549,0.001670879,,0.850457383
117,Slovak Republic,8.617900508,10.52778754,613899,153,8.607524024,10.59232699,613899,0.001402108,0.001725419,,-0.064539453
118,Eswatini,6.156908488,6.005266231,334854,156,6.168144416,6.001052936,334854,0.00184204,0.00179214,,0.004213295
119,Timor-Leste,0.254474712,0.152499382,8424,164,0.253357641,0.153338843,8424,0.003007569,0.001820262,,-0.000839461
120,Bosnia and Herzegovina,37.95679878,31.94601415,1741662,18,37.95913844,31.93634204,1741662,0.002179478,0.00183367,,0.009672109
121,Malta,3.634182479,4.354669613,235872,109,3.647982268,4.298799747,235872,0.001546594,0.001822514,,0.055869867
122,Chad,2.946530216,5.911146764,305721,159,2.960685833,5.845953302,305721,0.000968427,0.001912186,,0.065193461
123,Vietnam,2.959953832,2.425364293,124605,178,2.978009015,2.398579993,124605,0.002389959,0.001924947,,0.026784301
124,Mozambique,4.122078186,6.707679911,340119,112,4.23037985,6.30146663,340119,0.001243794,0.001852724,,0.406213281
125,Guam,2.119104937,1.959166083,98280,69,2.137552458,1.968300462,98280,0.002174962,0.002002748,,-0.009134379
126,Barbados,0.723413885,0.682030025,34047,24,0.733544997,0.670650634,34047,0.002154507,0.001969779,,0.011379391
127,Palestine,24.04411748,27.09445204,1346085,135,24.07897022,27.1171298,1346085,0.001788815,0.002014518,,-0.022677762
128,Burkina Faso,3.871231485,7.039949092,346437,13,3.963972389,6.808209407,346437,0.001144212,0.001965209,,0.231739685
129,Mauritius,1.54853016,2.449908689,119691,114,1.54675149,2.456379996,119691,0.001292287,0.002052268,,-0.006471307
130,Yemen,5.639379045,9.390156308,438048,180,5.674885034,9.138911686,438048,0.001295494,0.002086281,,0.251244622
131,Hong Kong,7.180580816,9.604321924,441558,71,7.188111203,9.604124649,441558,0.001627897,0.002175054,,0.000197275
132,Uganda,4.793160389,7.337568984,325377,171,4.658432045,7.142652354,325377,0.001431703,0.002195193,,0.194916629
133,San Marino,2.447426365,5.640050837,244998,148,2.509888515,5.542287364,244998,0.001024453,0.002262177,,0.097763473
134,Seychelles,1.004098597,0.654690611,28431,157,1.031666598,0.685009265,28431,0.003628668,0.002409375,,-0.030318654
135,Andorra,2.933999484,6.94029543,300105,4,2.913027501,6.981692892,300105,0.000970669,0.002326417,,-0.041397462
136,Aruba,0.670401339,0.855306365,36855,0,0.672487753,0.876863067,36855,0.001824685,0.002379224,,-0.021556702
137,Madagascar,21.36862714,22.73929505,957528,106,21.39479825,22.78103305,957528,0.002234378,0.002379151,,-0.041738009
138,Monaco,0.679883824,0.893241142,37206,104,0.686785436,0.898551135,37206,0.0018459,0.002415071,,-0.005309993
139,Suriname,3.523985301,4.847456405,198315,152,3.336787237,4.829642922,198315,0.001682569,0.002435339,,0.017813483
140,Guyana,2.452547439,2.3435169,95472,70,2.504901804,2.31958588,95472,0.002623703,0.002429598,,0.02393102
141,Libya,5.315444874,8.588644671,347139,96,5.316296118,8.573990399,347139,0.00153146,0.002469901,,0.014654271
142,Cameroon,119.4704786,110.5696593,4419792,34,119.4506728,110.277834,4419792,0.002702631,0.002495091,,0.291825269
143,Mongolia,2.422416377,1.93271135,77220,111,2.449902947,1.829281071,77220,0.003172627,0.002368921,,0.103430278
144,Eritrea,2.281298981,1.910595127,75465,52,2.325548882,1.929153472,75465,0.003081626,0.002556355,,-0.018558345
145,Trinidad and Tobago,1.073274618,1.185555264,45630,166,1.084848048,1.199962171,45630,0.002377489,0.002629766,,-0.014406907
146,Myanmar,1.81519791,2.890321054,109863,110,1.839152067,2.751390104,109863,0.001674041,0.002504383,,0.13893095
147,Bermuda,1.084516758,1.3586297,51246,21,1.102343851,1.312556925,51246,0.002151083,0.002561287,,0.046072775
148,Syria,2.71013772,3.159447562,118638,158,2.75889392,3.224449721,118638,0.002325472,0.002717889,,-0.065002159
149,France,1334.757149,1873.48929,69495894,58,1334.736762,1873.409137,69495894,0.001920598,0.002695712,,0.080153089
150,Faeroe Islands,0.835459808,1.816966084,65637,59,0.843246891,1.880340608,65637,0.001284713,0.002864757,,-0.063374524
151,Sri Lanka,8.452222231,21.09228324,727974,97,8.479912371,21.02611602,727974,0.001164865,0.002888306,,0.066167218
152,Paraguay,12.99574394,24.73687172,837135,134,12.93898206,24.7024513,837135,0.001545627,0.002950832,,0.034420422
153,Angola,3.037699698,3.604136429,121446,2,3.052934903,3.639568928,121446,0.002513821,0.002996862,,-0.035432499
154,Malawi,12.82396958,17.14602731,566163,115,12.85884876,17.19987654,566163,0.002271227,0.003037973,,-0.053849234
155,Puerto Rico,20.77308544,19.34970238,637767,132,20.77115522,19.29504748,637767,0.003256856,0.003025407,,0.054654899
156,Dominica,0.177353278,0.193705098,6318,46,0.175720462,0.231442917,6318,0.002781267,0.003663231,,-0.037737819
157,South Sudan,16.35480588,21.75176081,709371,151,16.35238058,21.70537972,709371,0.002305194,0.003059806,,0.046381088
158,Bhutan,0.767599548,0.893690558,27378,26,0.780102643,0.913585428,27378,0.002849378,0.003336933,,-0.01989487
159,Burundi,2.83314548,2.254326332,67041,10,2.854196027,2.182813318,67041,0.004257389,0.003255938,,0.071513014
160,Fiji,0.29665585,0.215200257,6318,57,0.286318887,0.202649171,6318,0.004531796,0.003207489,,0.012551086
161,Laos,0.160651627,0.246403738,6669,93,0.157993112,0.224456229,6669,0.002369068,0.003365665,,0.021947509
162,Congo,19.00277323,20.35235439,546507,36,19.03470519,20.3940476,546507,0.003482976,0.003731708,,-0.04169321
163,Greenland,0.129369798,0.17334576,4563,67,0.129369798,0.17334576,4563,0.002835192,0.003798943,,0
164,Namibia,6.329530066,5.108726272,131625,117,6.341172128,5.131582174,131625,0.004817605,0.003898638,,-0.022855901
165,Benin,15.09106539,17.07691569,420849,12,15.10584536,17.10531313,420849,0.003589374,0.004064478,,-0.028397439
166,Ecuador,358.3369564,913.3703914,21598785,50,358.3000714,913.0264588,21598785,0.00165889,0.004227212,,0.343932652
167,Belize,0.378748978,0.475866686,10530,20,0.373516649,0.471584573,10530,0.003547167,0.004478486,,0.004282113
168,Comoros,1.989918423,5.041303639,108459,38,2.051317885,4.987291484,108459,0.00189133,0.00459832,,0.054012155
169,Cambodia,1.475588372,2.351796894,49491,90,1.441196422,2.281216224,49491,0.002912037,0.004609356,,0.070580671
170,Zimbabwe,8.733787026,11.6864346,244998,183,8.703648663,11.65441847,244998,0.003552539,0.004756944,,0.032016139
171,Papua New Guinea,0.598286477,0.202319378,3861,130,0.570868989,0.208584311,3861,0.014785522,0.005402339,,-0.006264933
172,United States Virgin Islands,1.862047268,2.141736808,38961,177,1.89407795,2.187256338,38961,0.004861472,0.005613964,,-0.045519531
173,Botswana,5.011182749,5.54978306,97227,27,5.054209791,5.531227604,97227,0.00519836,0.005688983,,0.018555456
174,Tanzania,4.704147985,10.51321369,178659,170,4.59319854,9.875272129,178659,0.00257093,0.005527442,,0.637941564
175,Bahamas,2.040444385,2.270343649,36504,17,2.042377929,2.252823329,36504,0.005594943,0.006171442,,0.01752032
176,Zambia,27.40993717,36.22102499,572832,182,27.40884053,36.10744377,572832,0.004784796,0.006303322,,0.113581217
177,Kyrgyz Republic,250.1300371,182.0120633,2489994,89,250.111273,182.0846915,2489994,0.010044654,0.007312656,,-0.072628163
178,Gambia,1.538565619,2.641465883,20007,65,1.544511267,2.675874773,20007,0.007719854,0.013374693,,-0.03440889
179,Lesotho,2.955638629,3.811276636,12285,98,2.967603297,3.806550692,12285,0.024156315,0.030985354,,0.004725944
,,,,,,,,,,,,0.059512327
